UniProt ID,Protein Name
Q14498-2,Isoform 2 of RNA-binding protein 39
P13693,Translationally-controlled tumor protein
P02741,C-reactive protein
P40879,Chloride anion exchanger
Q05066,Sex-determining region Y protein
Q3YBA8,14-3-3 tau splice variant
Q9Y2D8,Afadin- and alpha-actinin-binding protein
Q05086,Ubiquitin-protein ligase E3A
P24723,Protein kinase C eta type
Q92882,Osteoclast-stimulating factor 1
Q9NY12,H/ACA ribonucleoprotein complex subunit 1
Q13438-2,Isoform 2 of Protein OS-9
Q9UJX6,Anaphase-promoting complex subunit 2
O75052,Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
Q13425,Beta-2-syntrophin
P62195,26S proteasome regulatory subunit 8
O60826,Coiled-coil domain-containing protein 22
Q9P0L0,Vesicle-associated membrane protein-associated protein A
Q9Y253,DNA polymerase eta
Q00987-11,Isoform 11 of E3 ubiquitin-protein ligase Mdm2
P58753,Toll/interleukin-1 receptor domain-containing adapter protein
Q86XR7,TIR domain-containing adapter molecule 2
Q8IUC6,TIR domain-containing adapter molecule 1
Q9Y4K3,TNF receptor-associated factor 6
Q92667-2,"Isoform 2 of A-kinase anchor protein 1, mitochondrial"
Q9Y4E8,Ubiquitin carboxyl-terminal hydrolase 15
Q01081,Splicing factor U2AF 35 kDa subunit
Q13469,"Nuclear factor of activated T-cells, cytoplasmic 2"
Q9HB71,Calcyclin-binding protein
P49917,DNA ligase 4
Q13426,DNA repair protein XRCC4
P07305,Histone H1.0
Q15131-1,Isoform 1 of Cyclin-dependent kinase 10
Q9UKU9,Angiopoietin-related protein 2
Q9BPU9,B9 domain-containing protein 2
Q14061,Cytochrome c oxidase copper chaperone
P61020,Ras-related protein Rab-5B
P51398,Small ribosomal subunit protein mS29
O95257,Growth arrest and DNA damage-inducible protein GADD45 gamma
Q9H9E3,Conserved oligomeric Golgi complex subunit 4
P14678-2,Isoform SM-B of Small nuclear ribonucleoprotein-associated proteins B and B'
P62306,Small nuclear ribonucleoprotein F
P62314,Small nuclear ribonucleoprotein Sm D1
P62316,Small nuclear ribonucleoprotein Sm D2
Q8IZD4,mRNA-decapping enzyme 1B
Q9GZV5,WW domain-containing transcription regulator protein 1
Q99963,Endophilin-A3
P11229,Muscarinic acetylcholine receptor M1
P30988-1,Isoform 2 of Calcitonin receptor
O15105,Mothers against decapentaplegic homolog 7
Q14469,Transcription factor HES-1
Q86WX3,Active regulator of SIRT1
Q8N163,Cell cycle and apoptosis regulator protein 2
P07306,Asialoglycoprotein receptor 1
P07307,Asialoglycoprotein receptor 2
P27449,V-type proton ATPase 16 kDa proteolipid subunit c
Q9P2J3,Kelch-like protein 9
Q9P2N7,Kelch-like protein 13
P41134,DNA-binding protein inhibitor ID-1
Q02363,DNA-binding protein inhibitor ID-2
Q02535,DNA-binding protein inhibitor ID-3
O43399-1,Isoform 1 of Tumor protein D54
Q12959,Disks large homolog 1
Q8WV22,Non-structural maintenance of chromosomes element 1 homolog
P49754,Vacuolar protein sorting-associated protein 41 homolog
P51149,Ras-related protein Rab-7a
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B
O75436,Vacuolar protein sorting-associated protein 26A
Q9BXF6,Rab11 family-interacting protein 5
Q9Y2X3,Nucleolar protein 58
P49715-1,Isoform 1 of CCAAT/enhancer-binding protein alpha
P05107,Integrin beta-2
P41567,Eukaryotic translation initiation factor 1
P47813,"Eukaryotic translation initiation factor 1A, X-chromosomal"
Q7L0Y3,tRNA methyltransferase 10 homolog C
Q93045,Stathmin-2
P58753-2,Isoform 2 of Toll/interleukin-1 receptor domain-containing adapter protein
Q8IZM6,BCH domain-containing Cdc42GAP-like protein
Q92993,Histone acetyltransferase KAT5
Q99759,Mitogen-activated protein kinase kinase kinase 3
Q9P289-1,Isoform 1 of Serine/threonine-protein kinase 26
Q9Y6E0,Serine/threonine-protein kinase 24
P12235,ADP/ATP translocase 1
O95292,Vesicle-associated membrane protein-associated protein B/C
Q8NHP6,Motile sperm domain-containing protein 2
Q9H1J1,Regulator of nonsense transcripts 3A
Q8IXM2,BPTF-associated chromatin complex component 1
Q96FJ0,AMSH-like protease
Q9NXK8,F-box/LRR-repeat protein 12
Q8NFJ9,BBSome complex member BBS1
O95786-1,Isoform 1 of Antiviral innate immune response receptor RIG-I
Q96AX1,Vacuolar protein sorting-associated protein 33A
Q9NRR5,Ubiquilin-4
Q02742,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase"
Q86U44,N(6)-adenosine-methyltransferase catalytic subunit METTL3
P61289,Proteasome activator complex subunit 3
Q9Y697,Cysteine desulfurase
O15273,Telethonin
Q66K89,Transcription factor E4F1
O60313,"Dynamin-like GTPase OPA1, mitochondrial"
P00966,Argininosuccinate synthase
Q13112,Chromatin assembly factor 1 subunit B
Q9UK17,A-type voltage-gated potassium channel KCND3
Q92622,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein
Q9UKY1,Zinc fingers and homeoboxes protein 1
Q8WXF7-1,Isoform 1 of Atlastin-1
Q86V81,THO complex subunit 4
P14921-2,Isoform c-ETS-1B of Protein C-ets-1
Q8N8S7,Protein enabled homolog
Q9Y615,Actin-like protein 7A
Q9UN36-1,Isoform 1 of Protein NDRG2
P27695,DNA repair nuclease/redox regulator APEX1
Q9UGP5,DNA polymerase lambda
Q15276,Rab GTPase-binding effector protein 1
P49593,Protein phosphatase 1F
P19429,"Troponin I, cardiac muscle"
P17181,Interferon alpha/beta receptor 1
Q9UM13,Anaphase-promoting complex subunit 10
Q15287-1,Isoform 1 of RNA-binding protein with serine-rich domain 1
Q15011,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein
Q9UGP4,LIM domain-containing protein 1
A9UHW6,MIF4G domain-containing protein
Q14103-1,Isoform 1 of Heterogeneous nuclear ribonucleoprotein D0
P83105,Serine protease HTRA4
O60832,H/ACA ribonucleoprotein complex subunit DKC1
P30304,M-phase inducer phosphatase 1
P43403,Tyrosine-protein kinase ZAP-70
Q15024,Exosome complex component RRP42
Q9NQT4,Exosome complex component RRP46
O43633,Charged multivesicular body protein 2a
Q9H840,Gem-associated protein 7
P20823,Hepatocyte nuclear factor 1-alpha
Q92831,Histone acetyltransferase KAT2B
Q8NFH8,RalBP1-associated Eps domain-containing protein 2
Q16594,Transcription initiation factor TFIID subunit 9
Q495M9,pre-mRNA splicing regulator USH1G
P53990,IST1 homolog
